Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T0068,2024-01-01,C4424,Tablet,222.0,519.4941778243674,Pay Pal,Failed
T0069,2021-03-03,C1757,Headphones,106.0,525.0927233314231,Credit Card,Completed
T0070,2025-03-01,C4445,Coffee Machine,787.0,527.6393144588213,Pay Pal,Completed
T0071,2022-11-15,C1381,Laptop,9.0,525.4615540704654,Cash,Unknown
T0072,2024-01-01,C899,Headphones,3.0,525.0927233314231,Credit Card,Failed
T0073,2021-04-10,C1319,Headphones,9.0,525.0927233314231,Cash,Pending
T0074,2025-01-16,C4509,Laptop,7.0,525.4615540704654,Pay Pal,Pending
T0075,2025-03-01,C3892,Laptop,6.0,310.0117870605701,Pay Pal,Pending
T0076,2024-01-01,C2256,Smartphone,106.0,518.1524235021693,Pay Pal,Completed
T0077,2025-03-01,C3280,Smartphone,106.0,518.1524235021693,Cash,Pending
T0078,2025-03-01,C1586,Smartphone,4.0,518.1524235021693,Credit Card,Completed
T0079,2025-03-01,C4545,Laptop,10.0,525.4615540704654,Pay Pal,Pending
T0080,2025-03-01,C3707,Coffee Machine,4.0,933.723570095747,Pay Pal,Unknown
T0081,2023-02-28,C3687,Smartphone,8.0,518.1524235021693,Pay Pal,Completed
T0083,2024-01-01,C2616,Tablet,7.0,447.1746873942077,Pay Pal,Completed
T0084,2024-01-01,C722,Tablet,4.0,811.1940409467047,Pay Pal,Failed
T0085,2025-03-01,C4399,Tablet,216.0,519.4941778243674,Cash,Unknown
T0086,2025-03-01,C058,Tablet,480.0,519.4941778243674,Cash,Unknown
T0087,2020-08-10,C703,Laptop,106.0,525.4615540704654,Cash,Completed
T0088,2025-03-01,C4004,Headphones,9.0,525.0927233314231,Pay Pal,Completed
T0090,2025-03-01,C1678,Laptop,106.0,525.4615540704654,Cash,Completed
T0092,2025-03-01,C3389,Smartphone,106.0,518.1524235021693,Pay Pal,Completed
T0093,2024-12-31,C3843,Tablet,973.0,784.0773703024178,Credit Card,Unknown
T0094,2025-03-01,C2314,Headphones,733.0,525.0927233314231,Pay Pal,Completed
T0095,2025-03-01,C529,Laptop,2.0,525.4615540704654,Credit Card,Pending
T0096,2024-01-01,C1336,Coffee Machine,198.0,527.6393144588213,Cash,Completed
T0097,2024-01-01,C2670,Smartphone,514.0,518.1524235021693,Cash,Unknown
T0098,2024-01-01,C1341,Headphones,106.0,525.0927233314231,Credit Card,Completed
T0099,2025-03-01,C3685,Smartphone,909.0,518.1524235021693,Pay Pal,Completed
T0100,2025-03-01,C1810,Coffee Machine,808.0,527.6393144588213,Pay Pal,Unknown
T0101,2024-01-01,C2318,Tablet,367.0,272.6373223393598,Credit Card,Failed
T0102,2025-03-01,C4239,Smartphone,131.0,518.1524235021693,Pay Pal,Unknown
T0103,2022-12-04,C327,Tablet,106.0,519.4941778243674,Pay Pal,Completed
T0104,2025-03-01,C4574,Coffee Machine,857.0,322.3579934023191,Cash,Unknown
T0105,2025-03-01,C4377,Laptop,9.0,525.4615540704654,Credit Card,Pending
T0107,2022-08-24,C4233,Laptop,106.0,525.4615540704654,Credit Card,Completed
T0108,2020-12-24,C4889,Smartphone,399.0,518.1524235021693,Credit Card,Completed
T0110,2025-03-01,C1186,Smartphone,106.0,451.461130880405,Pay Pal,Unknown
T0111,2024-01-01,C4669,Coffee Machine,889.0,527.6393144588213,Credit Card,Failed
T0112,2024-09-06,C4249,Laptop,723.0,90.34728588175324,Credit Card,Failed
T0113,2020-04-08,C2894,Headphones,106.0,86.41580941098921,Pay Pal,Completed
T0114,2024-01-01,C4252,Tablet,798.0,289.89395564796496,Cash,Unknown
T0115,2024-01-01,C4022,Headphones,106.0,525.0927233314231,Pay Pal,Pending
T0116,2025-03-01,C3190,Smartphone,787.0,518.1524235021693,Credit Card,Completed
T0117,2021-03-29,C4411,Tablet,300.0,519.4941778243674,Pay Pal,Completed
T0118,2025-03-01,C2778,Headphones,106.0,525.0927233314231,Credit Card,Completed
T0119,2025-03-01,C4517,Laptop,10.0,525.4615540704654,Credit Card,Failed
T0121,2024-01-01,C4087,Tablet,903.0,519.4941778243674,Credit Card,Completed
T0122,2021-08-22,C4055,Headphones,603.0,525.0927233314231,Pay Pal,Pending
T0123,2024-01-01,C2203,Headphones,3.0,525.0927233314231,Credit Card,Unknown
T0124,2024-01-01,C2837,Tablet,106.0,519.4941778243674,Pay Pal,Failed
T0126,2024-01-01,C572,Laptop,630.0,525.4615540704654,Credit Card,Unknown
T0127,2025-03-01,C2165,Headphones,106.0,525.0927233314231,Pay Pal,Failed
T0128,2024-01-01,C2883,Tablet,3.0,519.4941778243674,Pay Pal,Completed
T0129,2021-11-14,C1399,Laptop,996.0,525.4615540704654,Pay Pal,Completed
T0131,2025-03-01,C2556,Laptop,1.0,525.4615540704654,Credit Card,Completed
T0132,2020-08-20,C1736,Laptop,106.0,525.4615540704654,Pay Pal,Completed
T0133,2021-07-12,C2977,Laptop,137.0,525.4615540704654,Credit Card,Failed
T0134,2025-03-01,C1514,Coffee Machine,1.0,527.6393144588213,Cash,Completed
T0135,2025-03-01,C820,Laptop,106.0,999.6769010743952,Credit Card,Failed
T0136,2024-05-04,C544,Tablet,788.0,519.4941778243674,Pay Pal,Completed
T0137,2022-08-04,C4112,Headphones,322.0,525.0927233314231,Pay Pal,Completed
T0138,2024-01-01,C2349,Laptop,199.0,525.4615540704654,Cash,Completed
T0139,2025-03-01,C2703,Tablet,2.0,519.4941778243674,Pay Pal,Failed
T0140,2024-01-01,C2027,Coffee Machine,10.0,527.6393144588213,Pay Pal,Unknown
T77766,2024-01-01,C4226,Tablet,106.0,862.48,Credit Card,Completed
T0143,2022-06-28,C3555,Smartphone,3.0,625.381192727248,Credit Card,Completed
T0144,2020-02-03,C4891,Coffee Machine,8.0,375.97285452626176,Pay Pal,Completed
T0145,2025-03-01,C2712,Tablet,106.0,192.7443635076156,Pay Pal,Completed
T0146,2022-12-14,C3320,Smartphone,106.0,518.1524235021693,Pay Pal,Unknown
T0148,2024-01-01,C513,Smartphone,778.0,518.1524235021693,Credit Card,Pending
T0150,2025-03-01,C3843,Coffee Machine,7.0,497.4078791781518,Pay Pal,Completed
T0151,2025-03-01,C4252,Laptop,946.0,234.96502082545496,Pay Pal,Completed
T0152,2023-04-28,C3177,Laptop,106.0,525.4615540704654,Pay Pal,Failed
T0153,2024-01-01,C1021,Smartphone,222.0,734.987602056252,Pay Pal,Completed
T0154,2022-01-13,C3826,Smartphone,3.0,518.1524235021693,Pay Pal,Unknown
T0155,2020-01-23,C1382,Coffee Machine,106.0,527.6393144588213,Pay Pal,Completed
T0156,2024-01-01,C3890,Laptop,106.0,525.4615540704654,Credit Card,Completed
T0157,2021-02-01,C2917,Coffee Machine,304.0,863.77,Credit Card,Pending
T0158,2024-01-01,C4975,Headphones,661.0,525.0927233314231,Credit Card,Completed
T0159,2024-01-01,C2913,Headphones,571.0,525.0927233314231,Cash,Pending
T0160,2025-03-01,C1618,Laptop,106.0,525.4615540704654,Credit Card,Completed
T0161,2025-03-01,C4414,Coffee Machine,106.0,864.0457885955425,Pay Pal,Failed
T17515,2024-11-25,C3287,Smartphone,106.0,850.4985899006939,Credit Card,Pending
T0163,2021-08-11,C666,Smartphone,8.0,518.1524235021693,Credit Card,Unknown
T0164,2024-01-01,C2345,Coffee Machine,10.0,527.6393144588213,Credit Card,Completed
T0165,2022-05-30,C316,Coffee Machine,599.0,527.6393144588213,Pay Pal,Pending
T0166,2025-03-01,C222,Coffee Machine,3.0,527.6393144588213,Pay Pal,Completed
T0167,2021-08-05,C2395,Coffee Machine,547.0,527.6393144588213,Credit Card,Pending
T0168,2024-01-01,C2741,Headphones,106.0,525.0927233314231,Pay Pal,Completed
T0169,2025-03-01,C1460,Headphones,106.0,525.0927233314231,Cash,Completed
T0170,2024-01-01,C872,Tablet,10.0,921.4923647726245,Pay Pal,Pending
T0172,2024-01-01,C3007,Headphones,106.0,525.0927233314231,Pay Pal,Completed
T0173,2025-03-01,C2195,Coffee Machine,267.0,996.8924925994368,Credit Card,Completed
T0174,2024-01-01,C3227,Laptop,106.0,525.4615540704654,Pay Pal,Completed
T0175,2020-09-26,C4393,Laptop,505.0,213.46164941734105,Cash,Completed
T0176,2024-01-01,C2863,Coffee Machine,9.0,527.6393144588213,Cash,Completed
T0177,2025-01-04,C3662,Tablet,106.0,460.8278566012473,Pay Pal,Completed
T0178,2025-03-01,C233,Smartphone,106.0,518.1524235021693,Credit Card,Completed
T0179,2021-08-19,C4160,Tablet,622.0,121.8158272059667,Cash,Completed
T0180,2024-01-01,C3357,Tablet,4.0,519.4941778243674,Credit Card,Completed
T0181,2022-05-04,C887,Smartphone,359.0,365.48,Credit Card,Failed
T0182,2021-07-24,C4140,Coffee Machine,916.0,516.1081584281587,Credit Card,Pending
T0183,2025-03-01,C3985,Smartphone,106.0,518.1524235021693,Pay Pal,Completed
T0184,2024-01-01,C3954,Headphones,4.0,501.18,Credit Card,Completed
T0185,2024-05-14,C4308,Smartphone,779.0,388.0390415465828,Pay Pal,Completed
T0186,2025-03-01,C4027,Smartphone,246.0,720.973087747955,Credit Card,Unknown
T0187,2024-04-12,C2965,Smartphone,1.0,518.1524235021693,Cash,Unknown
T0188,2023-08-12,C1159,Laptop,106.0,525.4615540704654,Credit Card,Pending
T0189,2022-08-19,C047,Smartphone,10.0,252.64176119515056,Pay Pal,Completed
T0191,2024-01-01,C4984,Laptop,106.0,525.4615540704654,Credit Card,Completed
T0192,2025-03-01,C2741,Laptop,3.0,525.4615540704654,Pay Pal,Completed
T0193,2025-03-01,C3191,Coffee Machine,106.0,330.3,Cash,Completed
T0194,2025-03-01,C751,Headphones,106.0,525.0927233314231,Credit Card,Pending
T0195,2025-03-01,C4563,Tablet,279.0,519.4941778243674,Pay Pal,Failed
T0197,2021-03-08,C4862,Laptop,821.0,525.4615540704654,Credit Card,Pending
T0198,2024-01-01,C199,Headphones,826.0,525.0927233314231,Pay Pal,Completed
T0199,2023-03-11,C3558,Coffee Machine,5.0,527.6393144588213,Credit Card,Pending
T0200,2025-03-01,C1561,Laptop,9.0,428.3331931740419,Pay Pal,Completed
T0201,2024-01-01,C4339,Laptop,106.0,305.67683376987986,Pay Pal,Completed
T0203,2022-08-28,C4643,Laptop,106.0,525.4615540704654,Pay Pal,Completed
T0204,2021-02-08,C4690,Headphones,258.0,854.4182002616594,Credit Card,Unknown
T0205,2025-03-01,C3948,Coffee Machine,106.0,527.6393144588213,Credit Card,Failed
T0206,2024-01-01,C3530,Smartphone,299.0,518.1524235021693,Credit Card,Completed
T0207,2025-03-01,C2862,Laptop,106.0,423.10307753685015,Pay Pal,Pending
T0209,2024-03-13,C1378,Coffee Machine,586.0,527.6393144588213,Cash,Completed
T0210,2022-03-08,C3762,Coffee Machine,106.0,148.63019474593415,Credit Card,Completed
T0212,2025-03-01,C3724,Coffee Machine,938.0,345.73684283108884,Pay Pal,Completed
T0213,2025-03-01,C2547,Headphones,7.0,415.79673722840334,Credit Card,Completed
T0215,2024-01-01,C4386,Smartphone,106.0,518.1524235021693,Pay Pal,Failed
T0217,2024-01-01,C184,Smartphone,698.0,518.1524235021693,Pay Pal,Completed
T0218,2025-03-01,C4793,Headphones,536.0,525.0927233314231,Credit Card,Failed
T0219,2024-01-01,C3102,Laptop,106.0,275.07,Cash,Completed
T0220,2023-10-11,C3610,Smartphone,10.0,518.1524235021693,Pay Pal,Unknown
T0221,2020-03-08,C1613,Coffee Machine,106.0,58.03358928393075,Credit Card,Failed
T0222,2024-01-01,C2874,Coffee Machine,106.0,499.76,Pay Pal,Unknown
T0224,2025-03-01,C3588,Smartphone,106.0,345.8830842897967,Cash,Completed
T0225,2023-04-18,C298,Tablet,10.0,282.0102882048541,Pay Pal,Failed
T0226,2025-03-01,C3261,Smartphone,106.0,518.1524235021693,Credit Card,Pending
T0227,2024-01-01,C4300,Laptop,106.0,525.4615540704654,Credit Card,Failed
T0228,2022-04-03,C1613,Tablet,106.0,519.4941778243674,Pay Pal,Completed
T0229,2024-01-01,C665,Smartphone,5.0,643.4923070340809,Pay Pal,Unknown
T0230,2023-06-07,C1387,Headphones,106.0,933.2568077416644,Pay Pal,Completed
T0232,2025-03-01,C2304,Smartphone,802.0,518.1524235021693,Pay Pal,Completed
T0233,2024-01-01,C3774,Tablet,455.0,519.4941778243674,Pay Pal,Unknown
T0234,2025-03-01,C4286,Headphones,585.0,808.5529550324696,Credit Card,Completed
T0235,2020-03-31,C4657,Coffee Machine,162.0,527.6393144588213,Credit Card,Completed
T0236,2024-01-01,C606,Smartphone,201.0,518.1524235021693,Credit Card,Unknown
T0237,2021-03-23,C3835,Smartphone,106.0,518.1524235021693,Cash,Unknown
T0238,2024-01-01,C3827,Coffee Machine,106.0,527.6393144588213,Cash,Completed
T0239,2025-03-01,C3416,Coffee Machine,807.0,527.6393144588213,Cash,Completed
T0240,2024-01-01,C1171,Laptop,106.0,525.4615540704654,Pay Pal,Completed
T0241,2022-12-09,C2398,Coffee Machine,106.0,643.7099744048677,Pay Pal,Failed
T0242,2023-12-01,C2286,Coffee Machine,106.0,527.6393144588213,Pay Pal,Completed
T0244,2024-01-01,C2759,Smartphone,353.0,518.1524235021693,Credit Card,Unknown
T0245,2021-07-30,C1417,Tablet,106.0,519.4941778243674,Cash,Failed
T0246,2025-03-01,C3759,Headphones,1.0,525.0927233314231,Credit Card,Completed
T0247,2024-01-01,C4707,Headphones,767.0,525.0927233314231,Pay Pal,Completed
T0248,2024-07-10,C2496,Headphones,431.0,242.13,Pay Pal,Failed
T0249,2024-01-01,C2942,Tablet,1.0,519.4941778243674,Pay Pal,Completed
T0251,2023-04-17,C3631,Headphones,212.0,873.7449157057446,Credit Card,Failed
T0252,2022-03-01,C4052,Laptop,106.0,525.4615540704654,Credit Card,Completed
T0253,2024-03-22,C1374,Laptop,106.0,115.6814182877149,Cash,Completed
T0254,2021-11-14,C2859,Coffee Machine,165.0,115.37062226098816,Credit Card,Completed
T0255,2021-01-12,C4435,Laptop,106.0,878.3307368842339,Credit Card,Failed
T0257,2025-03-01,C4274,Coffee Machine,6.0,702.2392204398159,Pay Pal,Completed
T0258,2025-03-01,C1902,Headphones,358.0,525.0927233314231,Pay Pal,Pending
T0259,2025-03-01,C3240,Smartphone,3.0,518.1524235021693,Credit Card,Pending
T0260,2025-03-01,C3973,Coffee Machine,383.0,527.6393144588213,Credit Card,Completed
T0263,2025-03-01,C3570,Laptop,952.0,525.4615540704654,Pay Pal,Pending
T0264,2025-03-01,C4190,Coffee Machine,736.0,527.6393144588213,Credit Card,Pending
T0265,2024-01-01,C2978,Tablet,1.0,167.7074453290045,Pay Pal,Completed
T0266,2024-01-01,C1796,Headphones,3.0,900.3890031564791,Cash,Failed
T0267,2021-01-18,C4543,Coffee Machine,106.0,699.4001442993365,Cash,Completed
T0268,2023-12-01,C2381,Laptop,7.0,525.4615540704654,Pay Pal,Failed
T0269,2024-08-11,C3990,Coffee Machine,106.0,810.4362003026442,Credit Card,Completed
T0270,2025-03-01,C179,Coffee Machine,126.0,527.6393144588213,Credit Card,Failed
T0271,2025-03-01,C2542,Headphones,331.0,525.0927233314231,Pay Pal,Completed
T0272,2025-03-01,C163,Tablet,106.0,519.4941778243674,Credit Card,Failed
T0273,2024-01-01,C1922,Smartphone,611.0,518.1524235021693,Credit Card,Completed
T0274,2023-02-08,C2934,Coffee Machine,8.0,58.90413474001046,Pay Pal,Failed
T0275,2025-03-01,C1658,Headphones,853.0,525.0927233314231,Pay Pal,Completed
T0276,2024-01-01,C3811,Coffee Machine,106.0,527.6393144588213,Cash,Completed
T0277,2024-01-01,C4633,Headphones,106.0,525.0927233314231,Credit Card,Pending
T0278,2020-11-28,C1298,Coffee Machine,319.0,527.6393144588213,Pay Pal,Completed
T0279,2024-01-01,C294,Tablet,7.0,68.68419953659067,Credit Card,Pending
T0280,2024-01-01,C4545,Laptop,9.0,525.4615540704654,Credit Card,Completed
T0281,2024-01-01,C1045,Laptop,10.0,525.4615540704654,Cash,Failed
T0282,2023-07-19,C1022,Laptop,5.0,525.4615540704654,Credit Card,Completed
T0283,2025-03-01,C3173,Tablet,106.0,161.87252030619652,Credit Card,Completed
T0284,2022-10-04,C1301,Laptop,222.0,698.6577228569703,Cash,Pending
T0285,2024-01-01,C2052,Laptop,534.0,266.9206763671368,Credit Card,Failed
T0286,2024-01-01,C706,Smartphone,303.0,518.1524235021693,Pay Pal,Completed
T0287,2024-01-01,C3933,Tablet,106.0,519.4941778243674,Cash,Completed
T0288,2024-01-01,C4094,Tablet,106.0,626.418484441448,Pay Pal,Completed
T0289,2024-01-01,C4069,Smartphone,355.0,518.1524235021693,Credit Card,Pending
T0290,2025-03-01,C4420,Smartphone,995.0,518.1524235021693,Credit Card,Failed
T0291,2025-03-01,C2928,Smartphone,106.0,518.1524235021693,Pay Pal,Completed
T0294,2023-07-24,C1719,Laptop,3.0,581.8841170252601,Credit Card,Completed
T0295,2024-01-01,C3275,Coffee Machine,7.0,527.6393144588213,Cash,Completed
T0296,2025-03-01,C1221,Coffee Machine,106.0,527.6393144588213,Credit Card,Completed
T0297,2024-01-01,C3928,Laptop,160.0,581.1350897110032,Pay Pal,Completed
T0299,2020-11-26,C1664,Headphones,106.0,132.95090982621306,Credit Card,Pending
T0300,2024-01-01,C1998,Coffee Machine,2.0,527.6393144588213,Pay Pal,Unknown
T0301,2024-01-01,C457,Laptop,106.0,525.4615540704654,Pay Pal,Unknown
T0302,2020-11-17,C2108,Headphones,2.0,525.0927233314231,Pay Pal,Completed
T0303,2020-12-28,C4785,Smartphone,106.0,518.1524235021693,Credit Card,Completed
T0304,2022-04-12,C1803,Laptop,5.0,140.6198774288747,Pay Pal,Completed
T0306,2024-01-01,C1422,Smartphone,106.0,518.1524235021693,Credit Card,Completed
T0307,2025-03-01,C4222,Headphones,106.0,525.0927233314231,Credit Card,Pending
T0308,2024-01-01,C4265,Tablet,9.0,488.85674886553903,Credit Card,Failed
T0309,2025-03-01,C2016,Smartphone,705.0,518.1524235021693,Cash,Completed
T0310,2024-01-01,C656,Headphones,651.0,525.0927233314231,Pay Pal,Unknown
T0311,2022-06-08,C3494,Coffee Machine,936.0,527.6393144588213,Credit Card,Failed
T0312,2024-01-01,C1744,Headphones,106.0,525.0927233314231,Pay Pal,Completed
T0313,2021-06-30,C654,Coffee Machine,106.0,527.6393144588213,Cash,Failed
T0314,2024-01-01,C3587,Headphones,4.0,221.08937963114784,Cash,Pending
T0315,2024-01-01,C842,Tablet,4.0,519.4941778243674,Credit Card,Completed
T0316,2025-03-01,C4410,Headphones,10.0,525.0927233314231,Credit Card,Completed
T0317,2022-09-19,C4635,Smartphone,106.0,983.6168855720676,Credit Card,Completed
T0318,2025-03-01,C1946,Smartphone,307.0,518.1524235021693,Credit Card,Completed
T0319,2020-01-14,C3479,Headphones,410.0,525.0927233314231,Pay Pal,Completed
T0320,2025-03-01,C2275,Headphones,106.0,525.0927233314231,Cash,Pending
T0322,2025-03-01,C334,Headphones,615.0,525.0927233314231,Pay Pal,Completed
T0323,2024-11-02,C2361,Headphones,2.0,525.0927233314231,Credit Card,Pending
T0325,2024-01-01,C434,Smartphone,106.0,518.1524235021693,Pay Pal,Unknown
T0326,2025-03-01,C4321,Laptop,2.0,488.3079456112222,Pay Pal,Completed
T0327,2024-01-01,C3474,Tablet,106.0,501.0959461135751,Credit Card,Unknown
T0328,2024-10-09,C1878,Headphones,989.0,525.0927233314231,Cash,Completed
T0329,2024-01-01,C3235,Headphones,106.0,525.0927233314231,Credit Card,Pending
T0330,2025-03-01,C4439,Coffee Machine,8.0,527.6393144588213,Pay Pal,Failed
T0331,2025-03-01,C2872,Tablet,184.0,519.4941778243674,Pay Pal,Failed
T0333,2023-12-29,C2256,Laptop,584.0,525.4615540704654,Credit Card,Unknown
T0334,2024-01-01,C441,Headphones,106.0,525.0927233314231,Cash,Unknown
T0335,2025-03-01,C4468,Headphones,10.0,747.5720153457081,Credit Card,Completed
T0336,2024-01-01,C2458,Coffee Machine,10.0,527.6393144588213,Pay Pal,Completed
T0337,2023-03-02,C4233,Tablet,118.0,519.4941778243674,Cash,Completed
T0338,2023-04-10,C4411,Coffee Machine,106.0,527.6393144588213,Cash,Pending
T0339,2021-08-03,C3229,Coffee Machine,106.0,527.6393144588213,Cash,Completed
T0340,2025-03-01,C1143,Headphones,106.0,291.502551674003,Credit Card,Completed
T0341,2024-01-01,C2312,Headphones,1.0,894.1726126748041,Pay Pal,Failed
T0342,2024-01-01,C910,Smartphone,583.0,479.43,Cash,Failed
T0344,2024-01-01,C3624,Coffee Machine,239.0,940.4951071672184,Pay Pal,Unknown
T0345,2024-01-01,C3682,Coffee Machine,106.0,527.6393144588213,Credit Card,Pending
T0346,2023-08-14,C3763,Headphones,106.0,525.0927233314231,Credit Card,Unknown
T0347,2025-03-01,C3956,Smartphone,942.0,251.22913099225,Pay Pal,Pending
T0348,2023-12-19,C967,Smartphone,106.0,458.30857807803295,Pay Pal,Completed
T0350,2024-01-01,C708,Laptop,7.0,525.4615540704654,Credit Card,Completed
T0351,2021-09-03,C3070,Smartphone,106.0,518.1524235021693,Credit Card,Unknown
T0352,2022-10-16,C2080,Tablet,106.0,822.9978026249265,Cash,Completed
T0353,2024-01-01,C048,Laptop,761.0,193.23348897852597,Credit Card,Completed
T0354,2024-01-01,C1701,Smartphone,1.0,518.1524235021693,Cash,Completed
T0355,2021-04-26,C1559,Tablet,5.0,519.4941778243674,Pay Pal,Failed
T0356,2024-01-01,C925,Tablet,106.0,519.4941778243674,Pay Pal,Completed
T0358,2022-01-26,C215,Headphones,481.0,505.1016560358623,Cash,Completed
T0359,2022-11-29,C3357,Headphones,726.0,525.0927233314231,Pay Pal,Pending
T66876,2024-01-01,C4712,Headphones,106.0,776.5305169596752,Pay Pal,Unknown
T0361,2025-03-01,C1884,Tablet,3.0,519.4941778243674,Credit Card,Completed
T0362,2025-03-01,C205,Coffee Machine,106.0,681.0860098328172,Pay Pal,Failed
T0363,2025-03-01,C3517,Tablet,485.0,519.4941778243674,Credit Card,Unknown
T0364,2024-01-01,C2560,Smartphone,106.0,518.1524235021693,Cash,Completed
T0365,2025-03-01,C2424,Tablet,106.0,519.4941778243674,Pay Pal,Pending
T0366,2024-01-01,C162,Headphones,2.0,525.0927233314231,Pay Pal,Completed
T0367,2024-01-01,C1138,Laptop,571.0,525.4615540704654,Pay Pal,Completed
T0368,2024-01-01,C4370,Tablet,830.0,519.4941778243674,Pay Pal,Unknown
T0369,2025-03-01,C2751,Coffee Machine,106.0,527.6393144588213,Cash,Failed
