transaction_id,transaction_date,account_type,transaction_type,amount,currency,merchant_category,region,status,is_flagged
TXN-2505507,2023-10-11,Credit Card,Fee,84463.99,INR,Electronics,South,Completed,0
TXN-2144728,2023-10-28,Salary,Purchase,130264.32,INR,Fuel,North,Completed,0
TXN-6626734,2024-10-03,Salary,Fee,104886.2,INR,Electronics,Central,Completed,0
TXN-4959625,2023-11-24,Salary,Withdrawal,77254.84,INR,Entertainment,North-East,Completed,0
TXN-7284647,2024-05-29,NRE,Transfer,135547.33,INR,Travel,North-East,Completed,0
TXN-2325727,2023-10-04,Savings,Purchase,59548.33,INR,Dining,South,Completed,0
TXN-8034562,2023-10-03,Current,Transfer,37527.36,INR,Education,East,Completed,0
TXN-6354278,2023-10-30,NRE,Fee,85094.61,INR,Healthcare,North,Completed,0
TXN-2348263,2023-04-26,Current,Deposit,18011.76,INR,Travel,North,Completed,0
TXN-5861774,2023-06-18,NRE,Fee,56909.83,INR,Entertainment,West,Completed,0
TXN-1553834,2024-12-04,Salary,Transfer,66235.56,INR,Dining,North,Pending,0
TXN-1431925,2024-08-24,Credit Card,Deposit,66342.58,INR,Fuel,International,Completed,0
TXN-2009186,2024-11-27,Current,Fee,132235.69,INR,Healthcare,Central,Completed,0
TXN-3107426,2024-03-11,Salary,Fee,37840.0,INR,Utilities,Central,Pending,0
TXN-6242406,2023-08-29,Current,Fee,136499.82,INR,Travel,International,Completed,0
TXN-5215907,2023-07-29,Current,Purchase,8836.86,INR,Utilities,East,Completed,0
TXN-1229489,2023-01-17,Current,Refund,143714.5,INR,Entertainment,Central,Completed,0
TXN-7220830,2023-01-15,Credit Card,Fee,63953.07,INR,Healthcare,South,Completed,0
TXN-6351115,2024-09-04,Salary,Deposit,90214.77,INR,Travel,Central,Completed,0
TXN-5421670,2024-09-25,Credit Card,Purchase,113635.85,INR,Education,West,Completed,0
TXN-4612948,2024-12-01,Credit Card,Withdrawal,124529.04,INR,Entertainment,Central,Completed,0
TXN-2143847,2023-03-31,Salary,Purchase,31910.74,INR,,North,Completed,0
TXN-7016949,2024-05-09,Credit Card,Deposit,84860.51,INR,Dining,North-East,Completed,0
TXN-9642338,2023-12-27,Salary,Purchase,82985.36,INR,Electronics,North-East,Completed,0
TXN-8819749,2023-02-24,Savings,Refund,9008.37,INR,Healthcare,International,Completed,0
TXN-4723345,2024-04-18,NRE,Transfer,58641.95,INR,Travel,South,Completed,0
TXN-2675440,2023-08-31,NRE,Fee,47422.09,INR,,East,Completed,0
TXN-7334500,2024-07-06,Credit Card,Fee,16007.67,INR,Online Shopping,International,Completed,0
TXN-4615397,2024-06-20,NRE,Fee,95454.88,INR,Online Shopping,International,Completed,0
TXN-8283713,2024-11-14,Salary,Fee,23438.68,INR,Dining,Central,Completed,0
TXN-5491142,2023-03-24,NRE,Transfer,136715.51,INR,Grocery,East,Completed,0
TXN-6049873,2023-09-22,Savings,Deposit,5496670.35,INR,Entertainment,South,Completed,0
TXN-2209308,2023-07-17,Current,Refund,59196.89,INR,,East,Completed,0
TXN-7656374,2024-09-14,Current,Deposit,88479.18,INR,Online Shopping,North,Completed,0
TXN-3385270,2023-10-28,NRE,Transfer,97423.94,INR,Grocery,North-East,Completed,0
TXN-7692343,2023-07-13,Credit Card,Transfer,29260.28,INR,Fuel,North,Completed,0
TXN-9043365,2024-10-20,Savings,Withdrawal,109285.72,INR,Travel,North-East,Pending,0
TXN-6246427,2023-09-04,Current,Fee,91869.81,INR,Online Shopping,International,Completed,0
TXN-2386548,2024-08-11,Current,Withdrawal,29535.43,INR,Grocery,East,Completed,0
TXN-4886269,2024-05-10,Current,Withdrawal,143491.83,INR,Healthcare,East,Pending,0
TXN-7779815,2024-09-22,Salary,Fee,68049.01,INR,Online Shopping,North,Pending,0
TXN-2609156,2023-07-05,Credit Card,Withdrawal,97985.86,INR,Dining,East,Pending,0
TXN-1105188,2023-08-20,Current,Deposit,77681.9,INR,Online Shopping,North-East,Completed,0
TXN-7182369,2024-01-15,Credit Card,Withdrawal,1379.52,INR,,West,Completed,0
TXN-6137744,2023-11-09,Salary,Deposit,48566.63,INR,Dining,International,Completed,0
TXN-8794442,2024-09-13,Credit Card,Deposit,112720.37,INR,Dining,North,Completed,0
TXN-3637502,2023-12-03,NRE,Fee,57191.95,INR,Education,South,Pending,0
TXN-4064622,2023-04-17,Current,Transfer,103991.28,INR,Dining,North,Completed,0
TXN-4359298,2023-05-09,Salary,Withdrawal,7662.29,INR,Utilities,East,Completed,0
TXN-8248194,2024-07-24,NRE,Deposit,141877.65,INR,Entertainment,Central,Completed,0
TXN-5358806,2023-10-21,Credit Card,Deposit,123670.0,INR,Entertainment,South,Completed,0
TXN-7162027,2024-02-19,Current,Fee,3924123.59,INR,Dining,International,Completed,0
TXN-7360556,2023-08-07,Salary,Fee,110720.92,INR,Utilities,International,Failed,0
TXN-1428274,2024-07-07,Salary,Purchase,94833.39,INR,Entertainment,West,Completed,0
TXN-6636594,2024-06-14,Savings,Transfer,110747.74,INR,Online Shopping,Central,Pending,0
TXN-8735930,2024-06-22,Savings,Refund,102683.24,INR,Education,South,Pending,0
TXN-1310497,2024-01-26,Savings,Refund,125832.46,INR,Online Shopping,International,Completed,0
TXN-8223271,2023-05-01,Credit Card,Fee,85215.3,INR,Education,East,Completed,0
TXN-7467908,2023-08-28,Current,Transfer,63113.68,INR,Healthcare,Central,Completed,0
TXN-4870830,2024-04-14,Salary,Withdrawal,81388.86,INR,Travel,International,Completed,0
TXN-7282553,2024-03-20,Credit Card,Withdrawal,47318.91,INR,Healthcare,South,Completed,0
TXN-7614049,2024-01-12,Savings,Refund,123320.44,INR,Online Shopping,North-East,Completed,0
TXN-8992185,2023-01-05,NRE,Purchase,60928.07,INR,Electronics,North,Completed,0
TXN-6094890,2024-12-05,NRE,Deposit,2730.44,INR,Grocery,International,Completed,0
TXN-7755446,2023-12-07,Savings,Fee,47436.43,INR,Electronics,International,Completed,0
TXN-5835562,2024-09-18,Salary,Purchase,41005.98,INR,Utilities,South,Completed,0
TXN-7698502,2023-07-18,NRE,Withdrawal,36350.11,INR,Dining,North,Completed,0
TXN-7453132,2024-05-23,Credit Card,Fee,22739.78,INR,Entertainment,International,Completed,0
TXN-3850354,2024-04-21,Credit Card,Purchase,58925.55,INR,Travel,North,Failed,0
TXN-4092945,2024-02-18,Savings,Purchase,58034.82,INR,Healthcare,Central,Completed,0
TXN-3643894,2024-08-09,Current,Deposit,87001.0,INR,Utilities,International,Completed,0
TXN-1412268,2023-07-22,NRE,Withdrawal,38671.75,INR,Online Shopping,West,Failed,0
TXN-5882818,2023-11-08,Savings,Fee,91720.73,INR,Fuel,East,Completed,0
TXN-7609916,2024-04-09,NRE,Refund,139604.38,INR,Healthcare,North-East,Completed,0
TXN-7705317,2024-12-15,NRE,Transfer,109932.02,INR,Online Shopping,South,Completed,0
TXN-8621153,2024-12-09,Current,Refund,80318.4,INR,Dining,South,Completed,0
TXN-2687967,2024-04-16,Current,Withdrawal,19133.32,INR,Education,International,Completed,0
TXN-9607833,2024-02-17,Current,Transfer,117332.84,INR,Online Shopping,West,Completed,0
TXN-7681528,2023-05-13,Salary,Fee,95771.45,INR,Utilities,North,Pending,0
TXN-6538491,2024-01-03,Current,Withdrawal,94763.92,INR,Travel,South,Failed,0
TXN-7408367,2024-10-22,NRE,Withdrawal,135303.47,INR,Utilities,International,Completed,0
TXN-6299671,2023-06-24,NRE,Transfer,52393.75,INR,Education,North,Completed,0
TXN-9121819,2024-09-27,Credit Card,Withdrawal,96791.05,INR,Fuel,West,Completed,0
TXN-4885420,2024-03-27,Savings,Deposit,5950.89,INR,Grocery,North,Completed,0
TXN-2212503,2024-11-29,NRE,Purchase,8333.21,INR,Education,North-East,Pending,0
TXN-3648014,2024-08-23,Salary,Refund,113969.87,INR,Fuel,International,Completed,0
TXN-6369437,2024-03-17,Credit Card,Purchase,20935.57,INR,Online Shopping,North,Completed,0
TXN-4087000,2023-03-04,NRE,Purchase,140570.76,INR,Healthcare,Central,Completed,0
TXN-1177608,2024-11-14,Salary,Withdrawal,125690.4,INR,Healthcare,Central,Completed,0
TXN-3969608,2023-05-30,Current,Transfer,2797.6,INR,Online Shopping,International,Completed,0
TXN-9151125,2023-10-24,Savings,Withdrawal,40164.41,INR,Travel,West,Completed,0
TXN-6910393,2023-08-10,Current,Withdrawal,46280.08,INR,Travel,North,Completed,0
TXN-1886452,2023-08-12,Current,Refund,45574.63,INR,Online Shopping,North,Completed,0
TXN-1999547,2023-08-16,Current,Deposit,127996.56,INR,Travel,International,Completed,0
TXN-8525878,2024-01-24,NRE,Deposit,148738.86,INR,Entertainment,West,Completed,0
TXN-5758933,2023-12-26,Credit Card,Fee,65179.09,INR,Travel,North,Completed,0
TXN-5101724,2023-01-29,Salary,Refund,11838.3,INR,Utilities,West,Completed,0
TXN-1905270,2024-03-09,NRE,Refund,79888.63,INR,Fuel,East,Completed,0
TXN-5426918,2023-04-23,Salary,Fee,45375.91,INR,,Central,Completed,0
TXN-5958431,2024-01-06,NRE,Transfer,104050.17,INR,Electronics,International,Completed,0
TXN-6276347,2024-09-07,Current,Transfer,35447.49,INR,Utilities,Central,Completed,0
TXN-5334925,2024-05-06,Current,Withdrawal,140984.83,INR,Utilities,International,Completed,0
TXN-9211958,2023-02-22,Salary,Withdrawal,37944.9,INR,Healthcare,East,Completed,0
TXN-3006377,2023-08-22,Current,Fee,101833.05,INR,Travel,West,Completed,0
TXN-8521586,2024-02-15,NRE,Deposit,32081.95,INR,Education,North,Completed,0
TXN-4780262,2023-09-13,Current,Deposit,10947.57,INR,Electronics,North,Completed,0
TXN-2496656,2023-01-11,Salary,Fee,47391.51,INR,Education,International,Completed,0
TXN-5995887,2024-10-07,Savings,Refund,142868.29,INR,Online Shopping,East,Completed,0
TXN-7138341,2023-06-13,NRE,Purchase,58665.75,INR,Fuel,South,Pending,0
TXN-1048693,2023-07-27,Current,Transfer,108071.59,INR,Healthcare,West,Completed,0
TXN-3255803,2024-11-14,Savings,Deposit,4541.21,INR,Education,North-East,Completed,0
TXN-2069375,2024-12-13,Savings,Deposit,139454.2,INR,Dining,West,Completed,0
TXN-4279104,2023-04-08,NRE,Deposit,84800.07,INR,Travel,International,Completed,0
TXN-3792073,2023-04-06,Current,Refund,4077133.97,INR,Grocery,North,Completed,0
TXN-3812924,2023-07-14,Current,Withdrawal,93283.5,INR,Online Shopping,North,Pending,0
TXN-6876025,2023-04-27,Credit Card,Deposit,27803.71,INR,Education,East,Completed,0
TXN-3029033,2023-06-18,Salary,Refund,25054.08,INR,Grocery,East,Completed,0
TXN-4150072,2024-05-12,Credit Card,Transfer,29053.46,INR,Fuel,International,Completed,0
TXN-7975747,2023-06-20,Credit Card,Fee,63399.11,INR,Grocery,South,Completed,0
TXN-4145154,2024-02-29,Savings,Deposit,42888.27,INR,Utilities,North,Completed,0
TXN-1618345,2023-11-10,Salary,Withdrawal,41224.31,INR,Utilities,East,Completed,0
TXN-9466469,2024-03-16,Salary,Withdrawal,25087.4,INR,Grocery,East,Completed,0
TXN-3687071,2024-08-04,NRE,Purchase,28232.05,INR,Electronics,South,Completed,0
TXN-8801724,2024-06-03,Savings,Refund,51452.79,INR,Grocery,Central,Completed,0
TXN-5096098,2023-11-09,Current,Purchase,46203.67,INR,Entertainment,International,Completed,0
TXN-9039093,2024-12-25,Credit Card,Purchase,107956.75,INR,Travel,West,Completed,0
TXN-7433556,2023-03-01,Current,Fee,118729.62,INR,Online Shopping,South,Completed,0
TXN-4869970,2023-03-05,Savings,Deposit,11605.61,INR,Online Shopping,North,Completed,0
TXN-4936202,2023-01-13,Current,Purchase,130354.49,INR,Online Shopping,East,Completed,0
TXN-3704842,2023-11-09,Credit Card,Withdrawal,87989.0,INR,Grocery,West,Pending,0
TXN-3297636,2024-07-23,NRE,Withdrawal,94321.02,INR,Healthcare,West,Completed,0
TXN-9680082,2023-10-19,NRE,Purchase,137048.8,INR,,East,Completed,0
TXN-5798179,2023-05-27,NRE,Fee,149623.6,INR,Electronics,International,Completed,0
TXN-3585059,2024-03-06,Savings,Withdrawal,61486.24,INR,Fuel,International,Completed,0
TXN-8448979,2024-04-10,Savings,Deposit,106363.94,INR,Entertainment,North,Completed,0
TXN-9631134,2024-10-16,NRE,Purchase,21290.45,INR,Education,International,Completed,0
TXN-5394546,2023-01-29,Savings,Fee,62323.29,INR,Dining,North,Completed,0
TXN-6196367,2024-02-14,Salary,Refund,102645.48,INR,Utilities,East,Completed,0
TXN-7315723,2023-09-12,Savings,Refund,120657.3,INR,Entertainment,South,Pending,0
TXN-5795209,2023-07-11,Savings,Deposit,85796.7,INR,,South,Completed,0
TXN-7236976,2024-02-16,Credit Card,Fee,39152.68,INR,Electronics,East,Completed,0
TXN-3837461,2023-06-18,Savings,Withdrawal,81822.54,INR,Dining,South,Completed,0
TXN-2676630,2023-04-12,Salary,Fee,26739.86,INR,Education,North,Pending,0
TXN-5512334,2024-11-10,NRE,Transfer,125961.08,INR,Electronics,North,Completed,0
TXN-7664058,2023-01-08,Credit Card,Transfer,24013.13,INR,Utilities,North-East,Completed,0
TXN-9462468,2023-03-21,Credit Card,Fee,63271.32,INR,Healthcare,International,Completed,0
TXN-1485633,2024-02-25,Salary,Fee,3114.88,INR,Grocery,North,Pending,0
TXN-7989931,2024-12-28,Credit Card,Withdrawal,36729.93,INR,Utilities,East,Failed,0
TXN-1521872,2024-04-10,Current,Transfer,20979.83,INR,Fuel,South,Completed,0
TXN-1343336,2024-11-05,Credit Card,Withdrawal,147968.11,INR,Fuel,West,Completed,0
TXN-4553571,2024-06-29,NRE,Fee,128709.37,INR,Entertainment,North,Pending,0
TXN-4343853,2023-11-28,Current,Refund,84415.15,INR,Dining,West,Pending,0
TXN-6052768,2023-07-18,Current,Refund,28445.48,INR,Utilities,East,Completed,0
TXN-3082282,2024-08-28,NRE,Transfer,129545.79,INR,Fuel,West,Completed,0
TXN-8823489,2024-12-25,Current,Transfer,137869.31,INR,Entertainment,South,Completed,0
TXN-9270535,2023-10-10,Credit Card,Deposit,127286.21,INR,Entertainment,International,Completed,0
TXN-5004799,2023-12-27,Salary,Transfer,115474.81,INR,Dining,West,Completed,0
TXN-2099781,2023-06-23,NRE,Deposit,18373.14,INR,Grocery,South,Completed,0
TXN-8059547,2024-06-20,Credit Card,Purchase,30481.47,INR,Electronics,Central,Completed,0
TXN-2180710,2024-06-24,Credit Card,Withdrawal,109030.56,INR,Travel,North-East,Completed,0
TXN-4626258,2024-08-28,Savings,Withdrawal,12885.46,INR,Travel,International,Completed,0
TXN-8317914,2023-02-23,Savings,Refund,116562.22,INR,Online Shopping,International,Completed,0
TXN-1875480,2024-05-22,Credit Card,Refund,49646.7,INR,Electronics,East,Completed,0
TXN-8434025,2024-04-04,Savings,Refund,140357.06,INR,Utilities,East,Completed,0
TXN-4419653,2024-12-21,NRE,Refund,116794.31,INR,Entertainment,West,Failed,0
TXN-1392049,2023-05-13,NRE,Fee,138987.03,INR,Fuel,West,Completed,0
TXN-3389961,2024-01-10,Savings,Transfer,68978.37,INR,Fuel,North-East,Completed,0
TXN-5728255,2024-03-08,Savings,Fee,121269.61,INR,Utilities,International,Completed,0
TXN-3424941,2024-03-26,NRE,Transfer,67009.68,INR,Grocery,West,Completed,0
TXN-7857467,2023-05-04,Credit Card,Transfer,108321.79,INR,Grocery,South,Completed,0
TXN-1782285,2023-03-24,Savings,Fee,124905.16,INR,Travel,East,Completed,0
TXN-5254374,2023-08-16,Current,Deposit,110734.67,INR,,International,Completed,0
TXN-6016519,2023-12-27,Savings,Deposit,17908.46,INR,,East,Completed,0
TXN-7879193,2023-04-08,NRE,Refund,124724.95,INR,Fuel,North-East,Completed,0
TXN-6167867,2023-02-21,Credit Card,Fee,67837.45,INR,Utilities,North,Failed,1
TXN-2180655,2023-11-27,NRE,Deposit,36615.41,INR,Education,North-East,Completed,0
TXN-9262772,2023-05-27,Savings,Withdrawal,80564.96,INR,Online Shopping,East,Completed,0
TXN-7586408,2024-11-20,Credit Card,Fee,4228467.26,INR,Travel,South,Failed,0
TXN-6152383,2024-07-18,NRE,Transfer,74311.08,INR,Healthcare,North-East,Completed,0
TXN-1726181,2024-04-12,Salary,Transfer,57186.71,INR,Dining,East,Pending,0
TXN-1929091,2024-03-10,Credit Card,Purchase,129837.69,INR,Entertainment,South,Completed,0
TXN-8822681,2024-02-25,Current,Deposit,4570.7,INR,Utilities,East,Completed,0
TXN-7262932,2024-04-13,Savings,Transfer,57972.18,INR,Healthcare,East,Completed,0
TXN-9003743,2024-07-15,Current,Refund,33583.9,INR,Healthcare,West,Completed,0
TXN-2628089,2024-11-29,NRE,Refund,60577.6,INR,Education,West,Completed,0
TXN-4088905,2024-01-05,Salary,Refund,15485.17,INR,Education,South,Completed,0
TXN-8697448,2023-08-12,Current,Refund,133078.64,INR,Utilities,Central,Completed,0
TXN-3283726,2023-01-27,NRE,Transfer,66325.89,INR,,West,Completed,0
TXN-6533450,2023-09-25,Salary,Withdrawal,55016.43,INR,Utilities,North,Completed,0
TXN-3227040,2024-05-14,Current,Fee,118229.51,INR,Grocery,South,Completed,0
TXN-1803751,2024-06-10,Savings,Refund,44732.46,INR,Education,North-East,Completed,0
TXN-6330203,2023-08-17,Current,Refund,115155.48,INR,Healthcare,North-East,Completed,0
TXN-7890697,2024-02-08,Salary,Purchase,80903.95,INR,Fuel,International,Completed,0
TXN-3400610,2023-07-30,NRE,Transfer,47693.53,INR,Dining,South,Completed,0
TXN-4981264,2023-09-12,Salary,Transfer,55548.12,INR,Fuel,Central,Completed,0
TXN-7085257,2023-08-08,Salary,Purchase,36359.98,INR,Grocery,International,Completed,0
TXN-4379453,2024-09-17,Credit Card,Withdrawal,58115.55,INR,Grocery,International,Completed,0
TXN-2248539,2023-03-16,NRE,Fee,136476.2,INR,Online Shopping,West,Completed,0
TXN-1500044,2023-03-22,Salary,Fee,45800.67,INR,Travel,North,Completed,0
TXN-3036396,2024-06-09,NRE,Deposit,37740.86,INR,Education,North,Completed,0
TXN-5133229,2024-05-01,Current,Deposit,90440.38,INR,Healthcare,East,Completed,0
TXN-5668307,2024-06-05,Salary,Fee,35255.23,INR,Entertainment,East,Completed,0
TXN-2407757,2024-08-08,Current,Refund,13352.04,INR,Grocery,International,Completed,0
TXN-3110045,2024-05-27,NRE,Transfer,55393.91,INR,Dining,International,Completed,0
TXN-1155158,2023-03-12,Salary,Withdrawal,33550.52,INR,Utilities,International,Completed,0
TXN-1418865,2023-01-25,Current,Purchase,112443.71,INR,Grocery,North,Completed,0
TXN-2563861,2023-03-09,Current,Purchase,127602.61,INR,Travel,South,Completed,0
TXN-7866848,2023-06-08,NRE,Transfer,26811.04,INR,Travel,Central,Completed,1
TXN-9377933,2024-02-16,NRE,Transfer,29128.32,INR,Education,East,Completed,0
TXN-4781482,2024-06-06,Current,Withdrawal,53908.99,INR,Healthcare,Central,Completed,0
TXN-8068587,2024-05-25,NRE,Withdrawal,98204.08,INR,Fuel,West,Completed,0
TXN-3447970,2024-01-14,NRE,Deposit,130935.36,INR,Fuel,North,Pending,0
TXN-4886610,2023-10-02,Current,Deposit,7979.12,INR,Dining,West,Completed,0
TXN-2055317,2023-11-23,Salary,Fee,49343.23,INR,Online Shopping,North,Completed,0
TXN-3678427,2024-09-22,NRE,Deposit,22971.96,INR,Entertainment,East,Completed,0
TXN-1375289,2023-03-10,Credit Card,Deposit,29956.04,INR,Entertainment,West,Completed,0
TXN-4881825,2024-02-21,Current,Fee,144810.53,INR,Entertainment,West,Completed,0
TXN-4019770,2024-02-04,Salary,Deposit,11419.72,INR,Utilities,South,Completed,0
TXN-7046864,2024-04-02,Salary,Withdrawal,56336.36,INR,Dining,International,Completed,0
TXN-9420912,2024-10-06,Current,Fee,111162.09,INR,Education,West,Completed,0
TXN-8228890,2023-01-29,Salary,Purchase,45506.24,INR,Dining,South,Failed,0
TXN-8988379,2023-10-10,Current,Refund,29705.9,INR,Electronics,West,Completed,0
TXN-4982797,2023-06-26,Salary,Withdrawal,63956.58,INR,Education,North,Completed,0
TXN-7372173,2023-08-03,Savings,Deposit,71869.86,INR,Fuel,Central,Completed,0
TXN-7376135,2024-01-10,Salary,Purchase,4631.26,INR,Entertainment,International,Completed,0
TXN-4757514,2024-10-22,Salary,Refund,102779.86,INR,Online Shopping,North-East,Completed,0
TXN-9217591,2023-08-30,Savings,Withdrawal,143470.35,INR,Grocery,North,Failed,0
TXN-5573397,2023-01-09,Salary,Withdrawal,122436.82,INR,Travel,West,Completed,0
TXN-1061886,2023-11-12,Credit Card,Deposit,85226.23,INR,Dining,Central,Completed,0
TXN-9331749,2024-01-21,Savings,Deposit,104434.36,INR,Utilities,West,Pending,0
TXN-3462691,2023-05-25,Salary,Refund,52272.59,INR,Education,West,Completed,0
TXN-9682376,2024-05-01,Savings,Refund,18238.09,INR,Fuel,North,Completed,0
TXN-3451686,2024-08-03,Salary,Transfer,61638.19,INR,Electronics,International,Completed,0
TXN-4449802,2023-02-15,Credit Card,Transfer,143848.04,INR,Online Shopping,North,Completed,0
TXN-4128711,2023-11-09,Current,Transfer,97666.11,INR,Entertainment,East,Completed,0
TXN-1738172,2024-05-30,Credit Card,Fee,45774.42,INR,Electronics,International,Completed,0
TXN-1751633,2023-02-14,NRE,Refund,135883.84,INR,,North-East,Completed,0
TXN-5251702,2023-04-27,Credit Card,Refund,149890.59,INR,Healthcare,North,Completed,0
TXN-5621286,2024-06-18,NRE,Fee,143314.94,INR,Healthcare,East,Completed,0
TXN-6388944,2023-08-05,Credit Card,Purchase,83394.43,INR,Entertainment,North,Completed,0
TXN-3920782,2023-10-19,Current,Purchase,105415.64,INR,Fuel,North,Completed,0
TXN-2903286,2024-10-19,NRE,Transfer,130281.9,INR,Dining,West,Completed,0
TXN-3779483,2023-06-30,Savings,Deposit,137364.65,INR,Education,East,Completed,0
TXN-3937746,2023-04-06,Savings,Withdrawal,26704.33,INR,Dining,East,Completed,0
TXN-3991990,2024-03-20,Credit Card,Transfer,118298.94,INR,Fuel,East,Failed,0
TXN-4449946,2023-11-24,Credit Card,Fee,147118.42,INR,Education,East,Completed,0
TXN-2820207,2023-07-21,Savings,Purchase,60434.71,INR,Fuel,East,Failed,0
TXN-4663012,2023-01-22,Savings,Refund,136899.74,INR,Travel,International,Completed,0
TXN-2126790,2023-04-20,Savings,Withdrawal,75731.06,INR,Healthcare,Central,Completed,0
TXN-8653150,2023-12-20,NRE,Refund,65754.64,INR,Entertainment,Central,Pending,0
TXN-3304973,2023-10-05,Current,Fee,51281.28,INR,Healthcare,International,Failed,0
TXN-9977242,2024-10-18,Savings,Refund,12778.65,INR,Entertainment,International,Completed,0
TXN-9220931,2023-09-27,Current,Transfer,69786.33,INR,Education,West,Completed,0
TXN-6407455,2023-07-04,Savings,Transfer,125228.21,INR,Travel,North-East,Completed,0
TXN-5625229,2024-09-14,Savings,Refund,54034.18,INR,Fuel,Central,Completed,0
TXN-1900651,2024-07-30,Salary,Withdrawal,108237.42,INR,Healthcare,East,Completed,0
TXN-9618524,2023-05-14,Salary,Withdrawal,141910.23,INR,Healthcare,North,Completed,0
TXN-9457719,2024-06-06,Savings,Deposit,1456.68,INR,Entertainment,Central,Pending,0
TXN-6619927,2024-11-27,NRE,Transfer,42824.78,INR,Travel,East,Completed,0
TXN-1943601,2023-09-06,NRE,Deposit,50937.13,INR,Dining,Central,Completed,0
TXN-9404662,2023-05-01,Credit Card,Withdrawal,26450.27,INR,Fuel,Central,Pending,0
TXN-5108459,2024-12-27,Credit Card,Transfer,136741.6,INR,Electronics,International,Completed,0
TXN-1997949,2024-12-19,Current,Transfer,135057.22,INR,Healthcare,North,Completed,0
TXN-2432293,2024-02-20,Salary,Transfer,43032.77,INR,Education,South,Completed,0
TXN-5944247,2024-09-24,NRE,Purchase,94798.75,INR,Education,East,Completed,0
TXN-5317791,2023-11-18,Credit Card,Fee,51577.75,INR,Online Shopping,South,Completed,0
TXN-6066112,2023-08-16,Current,Refund,66139.1,INR,Entertainment,East,Completed,0
TXN-3839781,2024-04-10,Current,Transfer,95597.2,INR,Travel,West,Completed,0
TXN-8036810,2024-06-13,NRE,Purchase,11124.13,INR,Entertainment,Central,Completed,1
TXN-6220444,2024-10-05,Credit Card,Fee,7034.51,INR,Online Shopping,South,Completed,0
